"","X","budget","id","original_language","popularity","release_date","revenue","title","vote_average","vote_count","genre","production","country","principal_actor","secondary_actor"
"22",22,1.15e+08,20662,"en",37.668301,"2010-05-12",369284902.7,"Robin Hood",6.2,1398,"Adventure","Universal Pictures","United States of America","Russell Crowe","Cate Blanchett"
"23",23,1.15e+08,57158,"en",67.3859622,"2013-12-11",369284902.7,"The Hobbit: The Desolation of Smaug",7.6,3040.9,"Fantasy","WingNut Films","United States of America","Martin Freeman","Ian McKellen"
"24",24,1.15e+08,2268,"en",42.990906,"2007-12-04",369284902.7,"The Golden Compass",5.8,1303,"Fantasy","Scholastic Productions","United States of America","Dakota Blue Richards","Nicole Kidman"
"25",25,1.15e+08,254,"en",61.22601,"2005-12-14",369284902.7,"King Kong",6.6,3040.9,"Drama","WingNut Films","United States of America","Naomi Watts","Jack Black"
"26",26,1.15e+08,597,"en",67.3859622,"1997-11-18",369284902.7,"Titanic",7.5,3040.9,"Thriller","Twentieth Century Fox Film Corporation","United States of America","Kate Winslet","Leonardo DiCaprio"
"27",27,1.15e+08,271110,"en",67.3859622,"2016-04-27",369284902.7,"Captain America: Civil War",7.1,3040.9,"Science Fiction","Walt Disney Studios Motion Pictures","United States of America","Chris Evans","Robert Downey Jr."
"28",28,1.15e+08,44833,"en",67.3859622,"2012-04-11",369284902.7,"Battleship",5.5,3040.9,"Thriller","Universal Pictures","United States of America","Taylor Kitsch","Alexander Skarsgård"
"29",29,1.15e+08,135397,"en",67.3859622,"2015-06-09",369284902.7,"Jurassic World",6.5,3040.9,"Thriller","Universal Studios","United States of America","Chris Pratt","Bryce Dallas Howard"
"30",30,1.15e+08,37724,"en",67.3859622,"2012-10-25",369284902.7,"Skyfall",6.9,3040.9,"Thriller","Columbia Pictures","United States of America","Daniel Craig","Judi Dench"
"31",31,1.15e+08,558,"en",35.149586,"2004-06-25",369284902.7,"Spider-Man 2",6.7,3040.9,"Fantasy","Marvel Enterprises","United States of America","Tobey Maguire","Kirsten Dunst"
"32",32,1.15e+08,68721,"en",67.3859622,"2013-04-18",369284902.7,"Iron Man 3",6.8,3040.9,"Science Fiction","Marvel Studios","United States of America","Robert Downey Jr.","Gwyneth Paltrow"
"33",33,1.15e+08,12155,"en",67.3859622,"2010-03-03",369284902.7,"Alice in Wonderland",6.4,3040.9,"Fantasy","Zanuck Company, The","United States of America","Mia Wasikowska","Johnny Depp"
"34",34,1.15e+08,36668,"en",3.857526,"2006-05-24",369284902.7,"X-Men: The Last Stand",6.3,3040.9,"Thriller","XM3 Service","United States of America","Hugh Jackman","Halle Berry"
"35",35,1.15e+08,62211,"en",67.3859622,"2013-06-20",369284902.7,"Monsters University",7,3040.9,"Family","Walt Disney Pictures","United States of America","Billy Crystal","John Goodman"
"36",36,1.15e+08,8373,"en",21.939663,"2009-06-19",369284902.7,"Transformers: Revenge of the Fallen",6,3040.9,"Science Fiction","Revolution Sun Studios","United States of America","Shia LaBeouf","Megan Fox"
"37",37,1.15e+08,91314,"en",67.3859622,"2014-06-25",369284902.7,"Transformers: Age of Extinction",5.8,3040.9,"Science Fiction","Revolution Sun Studios","United States of America","Mark Wahlberg","Stanley Tucci"
"38",38,1.15e+08,68728,"en",46.985445,"2013-03-07",369284902.7,"Oz: The Great and Powerful",5.7,3040.9,"Fantasy","Walt Disney Pictures","United States of America","James Franco","Mila Kunis"
"39",39,1.15e+08,102382,"en",67.3859622,"2014-04-16",369284902.7,"The Amazing Spider-Man 2",6.5,3040.9,"Fantasy","Matt Tolmach Productions","United States of America","Andrew Garfield","Emma Stone"
"40",40,1.15e+08,20526,"en",67.3859622,"2010-12-10",369284902.7,"TRON: Legacy",6.3,3040.9,"Science Fiction","Walt Disney Pictures","United States of America","Garrett Hedlund","Jeff Bridges"
"41",41,1.15e+08,49013,"en",49.98659,"2011-06-11",369284902.7,"Cars 2",5.8,3040.9,"Family","Walt Disney Pictures","United States of America","Owen Wilson","Larry the Cable Guy"
"42",42,1.15e+08,44912,"en",51.872839,"2011-06-16",219851172,"Green Lantern",5.1,3040.9,"Thriller","Warner Bros.","United States of America","Ryan Reynolds","Blake Lively"
"43",43,1.15e+08,10193,"en",59.995418,"2010-06-16",369284902.7,"Toy Story 3",7.6,3040.9,"Family","Walt Disney Pictures","United States of America","Tom Hanks","Tim Allen"
"44",44,1.15e+08,534,"en",67.3859622,"2009-05-20",369284902.7,"Terminator Salvation",5.9,3040.9,"Thriller","Wonderland Sound and Vision","United States of America","Christian Bale","Sam Worthington"
"45",45,1.15e+08,168259,"en",67.3859622,"2015-04-01",369284902.7,"Furious 7",7.3,3040.9,"Action","Universal Pictures","United States of America","Vin Diesel","Paul Walker"
"46",46,1.15e+08,72190,"en",67.3859622,"2013-06-20",369284902.7,"World War Z",6.7,3040.9,"Thriller","Skydance Productions","United States of America","Brad Pitt","Mireille Enos"
"47",47,1.15e+08,127585,"en",67.3859622,"2014-05-15",369284902.7,"X-Men: Days of Future Past",7.5,3040.9,"Science Fiction","Twentieth Century Fox Film Corporation","United States of America","Hugh Jackman","James McAvoy"
"48",48,1.15e+08,54138,"en",67.3859622,"2013-05-05",369284902.7,"Star Trek Into Darkness",7.4,3040.9,"Science Fiction","Skydance Productions","United States of America","Chris Pine","Zachary Quinto"
"49",49,1.15e+08,81005,"en",43.349855,"2013-02-27",197687603,"Jack the Giant Slayer",5.5,3040.9,"Fantasy","Warner Bros.","United States of America","Nicholas Hoult","Eleanor Tomlinson"
"50",50,1.15e+08,64682,"en",61.196071,"2013-05-10",369284902.7,"The Great Gatsby",7.3,3040.9,"Romance","Warner Bros.","United States of America","Leonardo DiCaprio","Tobey Maguire"
"51",51,1.15e+08,9543,"en",62.169881,"2010-05-19",369284902.7,"Prince of Persia: The Sands of Time",6.2,3040.9,"Romance","Walt Disney Pictures","United States of America","Jake Gyllenhaal","Gemma Arterton"
"52",52,1.15e+08,68726,"en",56.523205,"2013-07-11",369284902.7,"Pacific Rim",6.7,3040.9,"Science Fiction","Warner Bros.","United States of America","Idris Elba","Charlie Hunnam"
"53",53,1.15e+08,38356,"en",28.529607,"2011-06-28",369284902.7,"Transformers: Dark of the Moon",6.1,3040.9,"Science Fiction","Paramount Pictures","United States of America","Shia LaBeouf","John Malkovich"
"54",54,1.15e+08,217,"en",67.3859622,"2008-05-21",369284902.7,"Indiana Jones and the Kingdom of the Crystal Skull",5.7,3040.9,"Adventure","Paramount Pictures","United States of America","Harrison Ford","Cate Blanchett"
"55",55,1.15e+08,105864,"en",51.692953,"2015-11-14",369284902.7,"The Good Dinosaur",6.6,1736,"Family","Walt Disney Pictures","United States of America","Raymond Ochoa","Jack Bright"
"56",56,1.15e+08,62177,"en",67.3859622,"2012-06-21",369284902.7,"Brave",6.7,3040.9,"Fantasy","Walt Disney Pictures","United States of America","Kelly Macdonald","Julie Walters"
"57",57,1.15e+08,188927,"en",67.3859622,"2016-07-07",369284902.7,"Star Trek Beyond",6.6,3040.9,"Science Fiction","Sneaky Shark","United States of America","Chris Pine","Zachary Quinto"
"58",58,1.15e+08,10681,"en",67.3859622,"2008-06-22",369284902.7,"WALL·E",7.8,3040.9,"Family","Walt Disney Pictures","United States of America","Ben Burtt","Elissa Knight"
"59",59,1.15e+08,5174,"en",22.57178,"2007-08-08",369284902.7,"Rush Hour 3",6.1,783,"Thriller","New Line Cinema","United States of America","Chris Tucker","Jackie Chan"
"60",60,1.15e+08,14161,"en",45.274225,"2009-10-10",369284902.7,"2012",5.6,3040.9,"Science Fiction","The Mark Gordon Company","United States of America","John Cusack","Amanda Peet"
"61",61,1.15e+08,17979,"en",39.744242,"2009-11-04",369284902.7,"A Christmas Carol",6.6,1095,"Drama","Walt Disney","United States of America","Gary Oldman","Jim Carrey"
"62",62,1.15e+08,76757,"en",67.3859622,"2015-02-04",183987723,"Jupiter Ascending",5.2,3040.9,"Science Fiction","Warner Bros.","United States of America","Mila Kunis","Channing Tatum"
"63",63,1.15e+08,258489,"en",42.741719,"2016-06-29",369284902.7,"The Legend of Tarzan",5.5,3040.9,"Adventure","Village Roadshow Pictures","United States of America","Alexander Skarsgård","Margot Robbie"
"64",64,1.15e+08,411,"en",67.3859622,"2005-12-07",369284902.7,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,3040.9,"Fantasy","Walt Disney","United States of America","William Moseley","Anna Popplewell"
"65",65,1.15e+08,246655,"en",67.3859622,"2016-05-18",369284902.7,"X-Men: Apocalypse",6.4,3040.9,"Science Fiction","Twentieth Century Fox Film Corporation","United States of America","James McAvoy","Michael Fassbender"
"66",66,1.15e+08,155,"en",67.3859622,"2008-07-16",369284902.7,"The Dark Knight",8.2,3040.9,"Thriller","Warner Bros.","United States of America","Christian Bale","Heath Ledger"
"67",67,1.15e+08,14160,"en",67.3859622,"2009-05-13",369284902.7,"Up",7.7,3040.9,"Family","Pixar Animation Studios","United States of America","Ed Asner","Christopher Plummer"
"68",68,1.15e+08,15512,"en",36.167578,"2009-03-19",369284902.7,"Monsters vs Aliens",6,1423,"Science Fiction","DreamWorks Animation","United States of America","Seth Rogen","Reese Witherspoon"
"69",69,1.15e+08,1726,"en",67.3859622,"2008-04-30",369284902.7,"Iron Man",7.4,3040.9,"Science Fiction","Marvel Studios","United States of America","Robert Downey Jr.","Terrence Howard"
"70",70,1.15e+08,44826,"en",32.319043,"2011-11-22",185770160,"Hugo",7,3040.9,"Family","Paramount Pictures","United States of America","Ben Kingsley","Sacha Baron Cohen"
"71",71,1.15e+08,8487,"en",40.748915,"1999-06-29",222104681,"Wild Wild West",5.1,1020,"Western","Warner Bros.","United States of America","Will Smith","Kevin Kline"
"72",72,1.15e+08,1735,"en",60.034162,"2008-07-01",369284902.7,"The Mummy: Tomb of the Dragon Emperor",5.2,1387,"Fantasy","Universal Pictures","United States of America","Brendan Fraser","Jet Li"
"73",73,1.15e+08,297761,"en",67.3859622,"2016-08-02",369284902.7,"Suicide Squad",5.9,3040.9,"Science Fiction","Warner Bros.","United States of America","Will Smith","Margot Robbie"
"74",74,1.15e+08,2698,"en",27.082182,"2007-06-09",1.73e+08,"Evan Almighty",5.3,1151,"Fantasy","Universal Pictures","United States of America","Steve Carell","Lauren Graham"
"75",75,1.15e+08,137113,"en",67.3859622,"2014-05-27",369284902.7,"Edge of Tomorrow",7.6,3040.9,"Science Fiction","Warner Bros.","United States of America","Tom Cruise","Emily Blunt"
"76",76,1.15e+08,9804,"en",44.640292,"1995-07-28",369284902.7,"Waterworld",5.9,992,"Adventure","Universal Pictures","United States of America","Kevin Costner","Chaim Girafi"
"77",77,1.15e+08,14869,"en",32.852443,"2009-08-04",369284902.7,"G.I. Joe: The Rise of Cobra",5.6,3040.9,"Thriller","Spyglass Entertainment","United States of America","Dennis Quaid","Channing Tatum"
"78",78,1.15e+08,150540,"en",67.3859622,"2015-06-09",369284902.7,"Inside Out",8,3040.9,"Family","Walt Disney Pictures","United States of America","Amy Poehler","Phyllis Smith"
"79",79,1.15e+08,278927,"en",67.3859622,"2016-04-07",369284902.7,"The Jungle Book",6.7,3040.9,"Fantasy","Walt Disney Studios Motion Pictures","United States of America","Neel Sethi","Bill Murray"
"80",80,1.15e+08,10138,"en",67.3859622,"2010-04-28",369284902.7,"Iron Man 2",6.6,3040.9,"Science Fiction","Marvel Studios","United States of America","Robert Downey Jr.","Gwyneth Paltrow"
"81",81,1.15e+08,58595,"en",67.3859622,"2012-05-30",369284902.7,"Snow White and the Huntsman",5.8,3040.9,"Fantasy","Universal Pictures","United States of America","Kristen Stewart","Charlize Theron"
"82",82,1.15e+08,102651,"en",67.3859622,"2014-05-28",369284902.7,"Maleficent",7,3040.9,"Romance","Walt Disney Studios Motion Pictures","United States of America","Angelina Jolie","Elle Fanning"
"83",83,1.15e+08,119450,"en",67.3859622,"2014-06-26",369284902.7,"Dawn of the Planet of the Apes",7.3,3040.9,"Thriller","TSG Entertainment","United States of America","Andy Serkis","Jason Clarke"
"84",84,2.7e+07,79698,"en",2.418535,"2015-02-13",0,"The Lovers",4.8,34,"Science Fiction","Wildkite","India","Josh Hartnett","Simone Kessell"
"85",85,1.15e+08,64686,"en",41.796339,"2013-12-06",150962475,"47 Ronin",5.9,1326,"Fantasy","Universal","United States of America","Keanu Reeves","Hiroyuki Sanada"
"86",86,1.15e+08,100402,"en",67.3859622,"2014-03-20",369284902.7,"Captain America: The Winter Soldier",7.6,3040.9,"Science Fiction","Marvel Studios","United States of America","Chris Evans","Samuel L. Jackson"
"87",87,1.15e+08,10192,"en",44.041186,"2010-05-16",369284902.7,"Shrek Forever After",6,3040.9,"Fantasy","DreamWorks Animation","United States of America","Mike Myers","Eddie Murphy"
"88",88,1.15e+08,158852,"en",67.3859622,"2015-05-19",209154322,"Tomorrowland",6.2,3040.9,"Science Fiction","Walt Disney Pictures","United States of America","Britt Robertson","George Clooney"
"89",89,1.15e+08,177572,"en",67.3859622,"2014-10-24",369284902.7,"Big Hero 6",7.8,3040.9,"Family","Walt Disney Pictures","United States of America","Scott Adsit","Ryan Potter"
"90",90,1.15e+08,82690,"en",62.341073,"2012-11-01",369284902.7,"Wreck-It Ralph",7.1,3040.9,"Family","Walt Disney Animation Studios","United States of America","John C. Reilly","Sarah Silverman"
"91",91,1.15e+08,5255,"en",47.323228,"2004-11-10",369284902.7,"The Polar Express",6.4,1474,"Fantasy","Playtone","United States of America","Tom Hanks","Michael Jeter"
"92",92,1.15e+08,47933,"en",48.775723,"2016-06-22",369284902.7,"Independence Day: Resurgence",4.9,3040.9,"Science Fiction","Twentieth Century Fox Film Corporation","United States of America","Liam Hemsworth","Jeff Goldblum"
"93",93,1.15e+08,10191,"en",67.3859622,"2010-03-05",369284902.7,"How to Train Your Dragon",7.5,3040.9,"Fantasy","Vertigo Entertainment","United States of America","Jay Baruchel","Gerard Butler"
"94",94,1.15e+08,296,"en",67.3859622,"2003-07-02",369284902.7,"Terminator 3: Rise of the Machines",5.9,3040.9,"Thriller","Warner Bros.","United States of America","Arnold Schwarzenegger","Nick Stahl"
"95",95,1.15e+08,118340,"en",67.3859622,"2014-07-30",369284902.7,"Guardians of the Galaxy",7.9,3040.9,"Science Fiction","Revolution Sun Studios","United States of America","Chris Pratt","Zoe Saldana"
"96",96,1.15e+08,157336,"en",67.3859622,"2014-11-05",369284902.7,"Interstellar",8.1,3040.9,"Science Fiction","Warner Bros.","United States of America","Matthew McConaughey","Jessica Chastain"
"97",97,1.15e+08,27205,"en",67.3859622,"2010-07-14",369284902.7,"Inception",8.1,3040.9,"Thriller","Warner Bros.","United States of America","Leonardo DiCaprio","Joseph Gordon-Levitt"
"98",98,1.5e+07,315011,"ja",9.476999,"2016-07-29",7.7e+07,"Shin Godzilla",6.5,143,"Science Fiction","Toho Pictures","Japan","Hiroki Hasegawa","Yutaka Takenouchi"
"99",99,1.15e+08,49051,"en",67.3859622,"2012-11-26",369284902.7,"The Hobbit: An Unexpected Journey",7,3040.9,"Fantasy","WingNut Films","United States of America","Ian McKellen","Martin Freeman"
"100",100,3.8e+07,9799,"en",6.909942,"2001-06-22",207283925,"The Fast and the Furious",6.6,3040.9,"Thriller","Universal Pictures","United States of America","Paul Walker","Vin Diesel"
"101",101,1.15e+08,4922,"en",60.269279,"2008-11-24",369284902.7,"The Curious Case of Benjamin Button",7.3,3040.9,"Thriller","Warner Bros.","United States of America","Cate Blanchett","Brad Pitt"
"102",102,1.15e+08,49538,"en",3.195174,"2011-05-24",369284902.7,"X-Men: First Class",7.1,3040.9,"Science Fiction","Twentieth Century Fox Film Corporation","United States of America","James McAvoy","Michael Fassbender"
"103",103,1.15e+08,131634,"en",67.3859622,"2015-11-18",369284902.7,"The Hunger Games: Mockingjay - Part 2",6.6,3040.9,"Science Fiction","Studio Babelsberg","United States of America","Jennifer Lawrence","Josh Hutcherson"
"104",104,1.15e+08,27022,"en",35.580815,"2010-07-13",215283742,"The Sorcerer's Apprentice",5.8,1470,"Fantasy","Walt Disney Pictures","United States of America","Nicolas Cage","Jay Baruchel"
"105",105,1.15e+08,503,"en",21.133748,"2006-05-12",181674817,"Poseidon",5.5,583,"Thriller","Warner Bros.","United States of America","Kurt Russell","Richard Dreyfuss"
"106",106,1.15e+08,241259,"en",56.268916,"2016-05-25",369284902.7,"Alice Through the Looking Glass",6.5,1725,"Fantasy","Walt Disney Pictures","United States of America","Johnny Depp","Mia Wasikowska"
"107",107,1.15e+08,810,"en",42.986467,"2007-05-17",369284902.7,"Shrek the Third",6,3040.9,"Fantasy","DreamWorks SKG","United States of America","Mike Myers","Eddie Murphy"
"108",108,1.15e+08,68735,"en",63.148529,"2016-05-25",369284902.7,"Warcraft",6.3,3040.9,"Fantasy","Universal Pictures","United States of America","Paula Patton","Travis Fimmel"
"109",109,1.15e+08,87101,"en",67.3859622,"2015-06-23",369284902.7,"Terminator Genisys",5.8,3040.9,"Thriller","Skydance Media","United States of America","Arnold Schwarzenegger","Jason Clarke"
"110",110,1.15e+08,10140,"en",49.661984,"2010-08-13",369284902.7,"The Chronicles of Narnia: The Voyage of the Dawn Treader",6.2,1514,"Fantasy","Walden Media","United States of America","Skandar Keynes","Georgie Henley"
"111",111,1.15e+08,676,"en",34.20669,"2001-05-21",369284902.7,"Pearl Harbor",6.6,3040.9,"War","Touchstone Pictures","United States of America","Ben Affleck","Josh Hartnett"
"112",112,1.15e+08,1858,"en",25.468493,"2007-06-27",369284902.7,"Transformers",6.6,3040.9,"Science Fiction","thinkfilm","United States of America","Shia LaBeouf","Josh Duhamel"
"113",113,1.15e+08,1966,"en",39.019229,"2004-11-21",167298192,"Alexander",5.6,927,"War","WR Universal Group","United States of America","Colin Farrell","Angelina Jolie"
"114",114,1.15e+08,675,"en",67.3859622,"2007-06-28",369284902.7,"Harry Potter and the Order of the Phoenix",7.4,3040.9,"Mystery","Warner Bros.","United States of America","Daniel Radcliffe","Rupert Grint"
"115",115,1.15e+08,674,"en",67.3859622,"2005-11-05",369284902.7,"Harry Potter and the Goblet of Fire",7.5,3040.9,"Fantasy","Warner Bros.","United States of America","Daniel Radcliffe","Rupert Grint"
"116",116,1.15e+08,8960,"en",56.758411,"2008-07-01",369284902.7,"Hancock",6.2,3040.9,"Fantasy","Weed Road Pictures","United States of America","Will Smith","Charlize Theron"
"117",117,1.15e+08,6479,"en",67.3859622,"2007-12-14",369284902.7,"I Am Legend",6.9,3040.9,"Thriller","Weed Road Pictures","United States of America","Will Smith","Alice Braga"
"118",118,1.15e+08,118,"en",53.905592,"2005-07-13",369284902.7,"Charlie and the Chocolate Factory",6.7,3040.9,"Fantasy","Warner Bros.","United States of America","Johnny Depp","Freddie Highmore"
"119",119,1.15e+08,2062,"en",67.3859622,"2007-06-22",369284902.7,"Ratatouille",7.5,3040.9,"Fantasy","Walt Disney Pictures","United States of America","Patton Oswalt","Ian Holm"
"120",120,1.15e+08,272,"en",67.3859622,"2005-06-10",369284902.7,"Batman Begins",7.5,3040.9,"Drama","Warner Bros.","United States of America","Christian Bale","Michael Caine"
"121",121,1.15e+08,10527,"en",44.141021,"2008-10-30",369284902.7,"Madagascar: Escape 2 Africa",6.2,3040.9,"Family","DreamWorks Animation","United States of America","Ben Stiller","Jada Pinkett Smith"
"122",122,1.15e+08,18360,"en",67.3859622,"2009-05-20",369284902.7,"Night at the Museum: Battle of the Smithsonian",5.9,3040.9,"Fantasy","Twentieth Century Fox Film Corporation","United States of America","Ben Stiller","Amy Adams"
"123",123,1.15e+08,2080,"en",5.954334,"2009-04-28",369284902.7,"X-Men Origins: Wolverine",6.2,3040.9,"Thriller","Twentieth Century Fox Film Corporation","United States of America","Hugh Jackman","Liev Schreiber"
"124",124,1.15e+08,605,"en",67.3859622,"2003-11-05",369284902.7,"The Matrix Revolutions",6.4,3040.9,"Thriller","Warner Bros.","United States of America","Keanu Reeves","Laurence Fishburne"
"125",125,1.15e+08,109445,"en",67.3859622,"2013-11-27",369284902.7,"Frozen",7.3,3040.9,"Family","Walt Disney Pictures","United States of America","Kristen Bell","Idina Menzel"
"126",126,1.15e+08,604,"en",67.3859622,"2003-05-15",369284902.7,"The Matrix Reloaded",6.7,3040.9,"Thriller","Warner Bros.","United States of America","Keanu Reeves","Carrie-Anne Moss"
"127",127,1.15e+08,76338,"en",67.3859622,"2013-10-29",369284902.7,"Thor: The Dark World",6.8,3040.9,"Fantasy","Marvel Studios","United States of America","Chris Hemsworth","Natalie Portman"
"128",128,1.15e+08,76341,"en",67.3859622,"2015-05-13",369284902.7,"Mad Max: Fury Road",7.2,3040.9,"Thriller","Warner Bros.","United States of America","Tom Hardy","Charlize Theron"
"129",129,1.15e+08,13448,"en",67.3859622,"2009-05-13",369284902.7,"Angels & Demons",6.5,3040.9,"Thriller","Skylark Productions","United States of America","Tom Hanks","Ewan McGregor"
"130",130,1.15e+08,10195,"en",67.3859622,"2011-04-21",369284902.7,"Thor",6.6,3040.9,"Fantasy","Marvel Studios","United States of America","Chris Hemsworth","Natalie Portman"
"131",131,1.15e+08,13053,"en",41.845878,"2008-11-21",369284902.7,"Bolt",6.3,1750,"Family","Walt Disney Animation Studios","United States of America","John Travolta","Miley Cyrus"
"132",132,1.15e+08,19585,"en",26.710398,"2009-07-21",369284902.7,"G-Force",5.1,510,"Fantasy","Whamaphram Productions","United States of America","Sam Rockwell","Penélope Cruz"
"133",133,1.15e+08,57165,"en",44.927635,"2012-03-27",369284902.7,"Wrath of the Titans",5.5,1431,"Adventure","Warner Bros.","United States of America","Sam Worthington","Liam Neeson"
"134",134,1.15e+08,62213,"en",50.306728,"2012-05-08",369284902.7,"Dark Shadows",5.7,3040.9,"Fantasy","Zanuck Company, The","United States of America","Johnny Depp","Michelle Pfeiffer"
"135",135,1.15e+08,177677,"en",67.3859622,"2015-07-23",369284902.7,"Mission: Impossible - Rogue Nation",7.1,3040.9,"Thriller","TC Productions","United States of America","Tom Cruise","Rebecca Ferguson"
"136",136,1.15e+08,7978,"en",21.214571,"2010-02-11",0,"The Wolfman",5.5,549,"Thriller","Universal Pictures","United States of America","Benicio del Toro","Anthony Hopkins"
"137",137,1.15e+08,5559,"en",29.332905,"2007-10-28",369284902.7,"Bee Movie",5.7,1171,"Family","Pacific Data Images (PDI)","United States of America","Jerry Seinfeld","Renée Zellweger"
"138",138,1.15e+08,49444,"en",51.247321,"2011-05-25",369284902.7,"Kung Fu Panda 2",6.7,3040.9,"Family","DreamWorks Animation","United States of America","Jack Black","Angelina Jolie"
"139",139,1.15e+08,10196,"en",33.769336,"2010-06-30",369284902.7,"The Last Airbender",4.7,1151,"Fantasy","Paramount Pictures","United States of America","Noah Ringer","Nicola Peltz"
"140",140,1.15e+08,956,"en",63.079003,"2006-05-03",369284902.7,"Mission: Impossible III",6.5,3040.9,"Thriller","The Fourth Production Company Film Group","United States of America","Tom Cruise","Philip Seymour Hoffman"
"141",141,1.15e+08,117251,"en",39.004588,"2013-06-27",205366737,"White House Down",6.4,3040.9,"Thriller","Mythology Entertainment (II)","United States of America","Channing Tatum","Jamie Foxx"
"142",142,1.15e+08,50321,"en",12.362599,"2011-03-09",38992758,"Mars Needs Moms",5.5,199,"Family","Walt Disney Animation Studios","United States of America","Seth Green","Joan Cusack"
"143",143,1.15e+08,11619,"en",22.550135,"2006-10-22",64459316,"Flushed Away",6,874,"Family","DreamWorks Animation","United States of America","Hugh Jackman","Kate Winslet"
"144",144,1.15e+08,266647,"en",48.03528,"2015-09-24",128388320,"Pan",5.9,954,"Fantasy","Warner Bros.","United States of America","Levi Miller","Garrett Hedlund"
